id,name,source_id,aliases,ra,dec,parallax,temperature,dist_pc,dist_ly,x,y,z,retrieved_utc,source
proxima-centauri,Proxima Centauri,5853498713190525696,Alpha Centauri C|GJ 551|HIP 70890,217.392321,-62.676075,768.066539,2829.3542,1.301971,4.2465,-0.474816,-0.362923,-1.156704,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
barnards-star,Barnard's Star,4472832130942575872,GJ 699|HIP 87937,269.448503,4.73942,546.97594,3099.6335,1.828234,5.9629,-0.017537,-1.821898,0.151056,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
gaia-762815470562110464,Gaia DR3 762815470562110464,762815470562110464,,165.83096,35.948653,392.752945,3511.0449,2.54613,8.3044,-1.998496,0.504548,1.494731,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
gaia-4075141768785646848,Gaia DR3 4075141768785646848,4075141768785646848,,282.458789,-23.837097,336.026602,3117.376,2.975955,9.7063,0.587259,-2.657999,-1.202695,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
epsilon-eridani,Epsilon Eridani,5164707970261890560,Ran|GJ 144|HIP 16537,53.228293,-9.458168,310.577293,5002.0435,3.21981,10.5016,1.901267,2.544094,-0.529103,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
lacaille-9352,Lacaille 9352,6553614253923452800,GJ 887|HIP 114046,346.503917,-35.847164,304.135369,3376.0845,3.28801,10.724,2.591604,-0.622002,-1.925541,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
gaia-3796072592206250624,Gaia DR3 3796072592206250624,3796072592206250624,,176.937688,0.79912,296.305308,3093.3999,3.374897,11.0074,-3.36975,0.180276,0.047069,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
gaia-1872046574983497216,Gaia DR3 1872046574983497216,1872046574983497216,,316.753663,38.756073,286.005352,3889.6328,3.496438,11.4038,1.986085,-1.868083,2.188792,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
61-cygni-a,61 Cygni A,1872046609345556480,GJ 820 A|HIP 104214,316.748479,38.763862,285.994948,4353.7437,3.496565,11.4043,1.985772,-1.868127,2.189242,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
gaia-2154880616774131840,Gaia DR3 2154880616774131840,2154880616774131840,,280.683071,59.638358,283.840118,3352.1919,3.52311,11.4908,0.330114,-1.749913,3.039924,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
gaia-2154880616774131712,Gaia DR3 2154880616774131712,2154880616774131712,,280.683086,59.635145,283.837768,3179.6333,3.523139,11.4909,0.330149,-1.750095,3.039849,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
gaia-385334230892516480,Gaia DR3 385334230892516480,385334230892516480,,4.613226,44.024787,280.706822,3352.2085,3.562436,11.6191,2.553232,0.206021,2.475784,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
gaia-385334196532776576,Gaia DR3 385334196532776576,385334196532776576,,4.625301,44.028745,280.694731,3020.2869,3.562589,11.6196,2.553129,0.206555,2.476068,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
epsilon-indi,Epsilon Indi,6412595290592307840,GJ 845|HIP 108870,330.872408,-56.797255,274.843142,4560.3032,3.638439,11.867,1.740456,-0.969823,-3.04442,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
gaia-3139847906307949696,Gaia DR3 3139847906307949696,3139847906307949696,,111.854628,5.209383,264.126898,3024.395,3.786059,12.3485,-1.40355,3.499446,0.343758,2026-09-19T07:39:16Z,Gaia DR3 gaiadr3.gaia_source
